actualTravelTime;fiveMinuteMean;trafficVolume
435;655.5428571;59
514;685.6774194;63
528;711.6363636;60
440;653.84375;59
543;685.6774194;62
774;869.5;71
439;642.6111111;56
829;886.6428571;69
591;684.0333333;63
563;663.4324324;59
597;678.6875;62
595;678.4545455;61
498;643.5428571;55
573;655.5428571;60
1608;939.1;53
723;752.8064516;61
520;629.2727273;58
554;636.8823529;57
471;640.4705882;52
432;633.9375;52
380;623.4848485;46
445;633.3870968;49
446;633.3870968;50
362;637.15;40
1352;914.6666667;71
410;648.3513514;39
315;652.7948718;39
313;642.3902439;39
369;672.7435897;37
304;631.1025641;41
335;639.902439;40
324;642.7948718;39
2215;931.1666667;76
312;620.4102564;36
301;625.1538462;36
313;625.7777778;37
309;622.8648649;39
322;624.5277778;38
319;620.8717949;40
941;634.0625;59
338;562.3333333;41
324;607.48;44
341;592;43
324;596.2307692;44
295;570.25;31
288;559.7916667;32
727;642.3902439;38
303;506.0833333;36
297;496.6521739;39
348;492.8095238;41
337;492.8095238;40
1290;656.2352941;60
1614;886.6428571;70
349;503.6666667;41
325;510.9375;40
362;520.8666667;40
684;562.3333333;41
313;501.2857143;38
671;602.5;45
347;529.9166667;41
393;499.8571429;36
334;383.2;45
333;392.3333333;48
342;392.3333333;47
327;390.3333333;54
303;431.2222222;46
331;388;53
373;376.7272727;44
327;433;51
312;431.2222222;46
319;431.2222222;46
1205;642.7105263;38
292;417.8;46
323;417.8;47
463;488.1333333;37
330;417.8;45
338;417.8;50
338;417.8;51
327;405.25;53
333;405.25;54
310;527.5625;54
331;554.7857143;54
328;541.0666667;55
310;527.5625;56
580;491.1333333;35
330;541.0666667;56
306;500;57
333;527.5625;55
939;595.037037;44
317;511.5714286;62
346;511.5714286;59
336;527.6153846;62
337;544.5833333;62
329;538;63
311;546.8666667;68
1780;666.2285714;59
324;546.8666667;68
320;534.375;69
949;556.36;39
335;546.8666667;68
322;534.375;68
1304;628.9;41
981;551.8461538;40
702;514.0769231;40
338;534.375;68
2313;945.5172414;60
338;531.1333333;72
342;531.1333333;72
335;498.2777778;76
2297;929.2592593;59
342;483.65;76
352;489.4736842;76
347;485.15;76
349;469.7272727;80
378;485.2692308;80
374;485.2692308;80
419;498.2777778;75
380;485.2692308;79
372;479.5185185;82
393;448;79
400;448;79
393;400.48;80
405;401.36;79
413;403.5416667;80
377;390.1875;73
399;393.8387097;74
386;406.8181818;73
383;404.1764706;73
398;390.1875;74
398;406.8181818;73
398;404.1764706;73
363;393.2571429;69
325;433.2972973;61
330;427.9230769;61
329;469.2051282;59
563;485.2692308;81
344;475.3;59
591;485.2692308;82
340;536.1842105;55
352;579.2222222;56
